220,303,295
220,295,278
250,220,26
250,26,32
220,278,26
250,37,24
24,37,279
250,32,37
37,38,279
250,24,339
250,339,319
24,279,370
24,370,339
1296,208,190
1296,190,114
208,200,278
208,278,190
1296,114,82
1296,82,282
82,1274,282
208,294,200
114,288,388
114,388,82
388,318,1274
388,1274,82
114,190,290
114,290,288
190,278,290
290,278,295
1296,523,208
523,294,208
1280,1339,338
1280,338,320
1339,1459,369
1339,369,338
1280,320,304
1280,304,1210
1210,304,294
1210,294,1160
1281,1211,303
1281,303,319
1211,1159,295
1211,295,303
1281,319,339
1281,339,1338
1338,339,370
1338,370,1458
523,1160,294
1296,282,1494
1494,282,1274
1494,1274,487
1296,1494,993
1296,993,1025
1296,1025,523
523,1025,1160
572,1495,388
572,388,288
1495,488,318
1495,318,388
614,295,1159
572,288,290
572,290,614
614,290,295
1244,548,1099
1045,1099,548
441,1150,1148
1229,1341,1025
1229,1025,993
1341,1484,1160
1341,1160,1025
1229,993,1494
1229,1494,441
441,1494,1150
1228,281,283
1228,283,1340
1340,283,1159
1340,1159,1483
440,1149,1151
1228,440,1495
1228,1495,281
440,1151,1495
494,537,1339
494,1339,1280
537,558,1459
537,1459,1339
494,1280,1210
494,1210,475
475,1210,1160
475,1160,1484
493,1281,1338
493,1338,536
536,1338,1458
536,1458,559
493,474,1211
493,1211,1281
474,1483,1159
474,1159,1211
1229,441,934
441,1148,934
1228,933,440
440,933,1149
1494,487,1150
281,572,614
281,614,283
283,614,1159
281,1495,572
1495,1151,488
69,76,537
69,537,494
76,83,558
76,558,537
69,494,475
69,475,62
62,475,1484
68,63,474
68,474,493
63,1483,474
68,493,536
68,536,75
75,536,559
75,559,84
340,433,1244
340,1244,1446
433,548,1244
340,1446,886
340,886,434
434,886,1451
434,1451,483
341,435,1320
341,1320,1188
435,482,910
435,910,1320
341,1188,871
341,871,432
432,871,1134
340,434,76
340,76,69
434,483,83
434,83,76
340,69,62
340,62,433
433,62,1484
433,1484,548
341,432,63
341,63,68
432,1134,1483
432,1483,63
341,68,75
341,75,435
435,75,84
435,84,482
1878,1045,1341
1878,1341,1229
1045,548,1484
1045,1484,1341
1878,1229,934
1878,934,873
934,1148,904
934,904,873
1029,1762,933
933,1762,905
933,905,1149
1029,933,1228
1029,1340,1046
1046,1340,1483
1046,1483,1134
1029,1228,1340
561,621,221
561,221,207
561,207,11
207,27,11
11,27,990
11,990,998
561,11,2288
11,998,2288
555,1770,299
555,299,152
555,152,221
555,221,621
242,207,221
242,221,217
280,242,44
280,44,38
280,38,28
242,217,44
280,28,369
280,369,1488
280,27,242
242,27,207
280,1488,990
280,990,27
209,1023,384
209,384,31
31,384,370
31,370,279
209,31,0
209,0,217
217,0,44
31,279,0
0,279,38
0,38,44
209,217,221
209,221,152
209,152,299
209,299,1023
1770,542,299
1023,299,542
752,535,998
998,535,2288
752,998,990
752,1816,535
752,1637,1816
554,2272,2185
554,2185,542
554,542,1770
1488,752,990
1486,1488,369
1486,369,1459
1488,1486,1761
1488,1761,752
43,1690,1485
43,1485,384
43,384,1023
1485,1458,370
1485,370,384
43,1023,542
43,2185,1690
43,542,2185
102,1105,876
1105,102,1761
1105,1761,1486
1105,1486,583
583,1486,1459
583,1459,558
549,1690,495
1690,2185,495
549,495,1042
549,582,1485
549,1485,1690
582,559,1458
582,1458,1485
613,876,1599
613,102,876
613,1637,1761
613,1761,102
1637,892,1761
547,1600,1042
547,1042,495
547,495,2272
2272,495,2185
711,549,1042
711,582,549
1761,892,752
892,1637,752
477,483,1451
477,1451,2243
2243,297,477
2242,476,296
476,2242,910
476,910,482
1981,2243,1642
1642,850,1981
1981,850,1615
1981,297,2243
1643,1982,2223
1982,1643,2242
1982,2242,296
1449,1599,876
1449,876,332
1450,1042,1600
1450,333,1042
823,332,1105
332,876,1105
823,1105,583
823,583,558
823,558,83
711,91,582
91,84,559
91,559,582
711,1042,333
477,297,332
477,332,823
477,823,83
477,83,483
476,711,333
476,333,296
476,91,711
476,482,84
476,84,91
1981,1449,332
1981,332,297
1982,296,333
1982,333,1450
2010,2545,1472
2010,1472,189
2010,189,2068
201,720,262
510,201,276
510,276,796
201,262,276
276,262,680
510,796,1447
510,1447,917
511,979,797
511,797,262
511,262,720
511,1979,979
796,276,277
796,277,824
276,680,826
276,826,277
796,824,298
796,298,1447
797,293,1487
797,1487,825
797,825,826
797,826,680
797,680,262
797,979,293
917,1447,1452
1447,298,632
1447,632,608
1447,608,1452
293,1455,1506
293,1506,1487
293,979,1455
1452,2002,917
543,1452,1766
1452,543,2002
1979,2209,1639
1979,1639,1455
1979,1455,979
608,632,1962
608,1962,1766
608,1766,1452
1455,1798,79
1455,79,1506
